video_id,user_id,username,hashtag
7652841998889536786,7275652472562025478,perdomojulieth,colombia🇨🇴tiktok_viral
7652921738665135380,6808648628484572165,luisafrt11_11,viral
7652921738665135380,6808648628484572165,luisafrt11_11,ivancepeda
7652921738665135380,6808648628484572165,luisafrt11_11,paratii
7652921738665135380,6808648628484572165,luisafrt11_11,foryoupage
7652921738665135380,6808648628484572165,luisafrt11_11,fypppppppppppppp
7646891002971671815,7518893356325061640,tata_mendoza3,cepedapresidente
7646891002971671815,7518893356325061640,tata_mendoza3,pactohistorico
7648360372931431700,7086982552054039557,gaby_lievano,abelardodelaespriella
7648360372931431700,7086982552054039557,gaby_lievano,abelardopresidente
7648360372931431700,7086982552054039557,gaby_lievano,cepedaguerrillero
7648360372931431700,7086982552054039557,gaby_lievano,cepedaguerrillero
7536315272177683717,6974911234123613189,elfusilero04,ivancepeda
7536315272177683717,6974911234123613189,elfusilero04,ivancepedaeldefensordelasfacr
7536315272177683717,6974911234123613189,elfusilero04,uribismo
7582031764084772116,6791466119204570117,giovannygordillos,cepedafarc
7582031764084772116,6791466119204570117,giovannygordillos,tiktok
7582031764084772116,6791466119204570117,giovannygordillos,colombia
7582031764084772116,6791466119204570117,giovannygordillos,guerrilleros
7582031764084772116,6791466119204570117,giovannygordillos,aliadodeterroristas
7562587961624284437,6805684899681420293,leosalce,cepedaguerrillero
7613941876596542727,7427290727850361861,will2129,izquierdamiserable
7613941876596542727,7427290727850361861,will2129,cepedaguerrillero
7648681416523271442,7609867388306048008,ivonne.sofia7,abelardodelaespriella
7648681416523271442,7609867388306048008,ivonne.sofia7,fueracepedaguerrillero
7648681416523271442,7609867388306048008,ivonne.sofia7,fyp
7648318919228263698,7642822109899129863,sinderesispatriotica,abelardodelaespriella
7648318919228263698,7642822109899129863,sinderesispatriotica,petro
7648318919228263698,7642822109899129863,sinderesispatriotica,cepeda
7648135815654083861,7267765975108404230,am_k.ipiales,ivancepeda
7648135815654083861,7267765975108404230,am_k.ipiales,colombia
7648135815654083861,7267765975108404230,am_k.ipiales,aidaquilcué
7648135815654083861,7267765975108404230,am_k.ipiales,elecciones2026
7648135815654083861,7267765975108404230,am_k.ipiales,memoriahistorica
7652454352883404052,7292113068727763973,dulcexxxxxxxxxx,petro
7652454352883404052,7292113068727763973,dulcexxxxxxxxxx,guerilla
7652454352883404052,7292113068727763973,dulcexxxxxxxxxx,ivancepedapresidente
7647345823528815880,7570980161312785415,fran57.789,fyp
7647345823528815880,7570980161312785415,fran57.789,tendencia
7647345823528815880,7570980161312785415,fran57.789,guerrillero
7647345823528815880,7570980161312785415,fran57.789,abelardodelaespriella
7647345823528815880,7570980161312785415,fran57.789,colombia
7650570729422884103,7642766583119283221,chicanoticias1,política
7650570729422884103,7642766583119283221,chicanoticias1,chn26politica
7650570729422884103,7642766583119283221,chicanoticias1,chn26cepeda
7622770587932347666,7317054169917981702,cwmasnoticias,antioquia
7622770587932347666,7317054169917981702,cwmasnoticias,políticacolombia
7622770587932347666,7317054169917981702,cwmasnoticias,abelardodelaespriella
7622770587932347666,7317054169917981702,cwmasnoticias,cwmásnoticias
7643477521752657160,7132670712284021766,santiagopolitica2025,ivancepeda
7643477521752657160,7132670712284021766,santiagopolitica2025,elecionespresidenciales
7643477521752657160,7132670712284021766,santiagopolitica2025,politicacolombiana
7644959206793088276,7612657994434233364,franciscoparapente,paramo
7644959206793088276,7612657994434233364,franciscoparapente,cuidadoambiental
7644959206793088276,7612657994434233364,franciscoparapente,fracking
7651499196163296519,6914801144377115653,bluemoonolunaazul,cepedapresidente
7651499196163296519,6914801144377115653,bluemoonolunaazul,melajuegoporlavida
7648059385217961223,7539631380780745735,jarlyortiz1,colombia
7648059385217961223,7539631380780745735,jarlyortiz1,dignidad
7648059385217961223,7539631380780745735,jarlyortiz1,cali
7648059385217961223,7539631380780745735,jarlyortiz1,pactohistorico
7648059385217961223,7539631380780745735,jarlyortiz1,vallenato
7644209685825998101,7070312837420549126,eco.aneko,elecciones
7644209685825998101,7070312837420549126,eco.aneko,ivancepeda
7644209685825998101,7070312837420549126,eco.aneko,gustavopetro
7644209685825998101,7070312837420549126,eco.aneko,ecoaneko
7644209685825998101,7070312837420549126,eco.aneko,colombia
7618031541050035477,7490962220563039240,centrodemocraticooficial,ultimahora
7618031541050035477,7490962220563039240,centrodemocraticooficial,uribe
7618031541050035477,7490962220563039240,centrodemocraticooficial,urgente
7618031541050035477,7490962220563039240,centrodemocraticooficial,petro
7618031541050035477,7490962220563039240,centrodemocraticooficial,noticiascolombia
7650520286642916616,7087688238299546629,juancarlosrealpe1,ivancepedapresidente
7650520286642916616,7087688238299546629,juancarlosrealpe1,colombia🇨🇴
7650520286642916616,7087688238299546629,juancarlosrealpe1,foryoupage
7623440552758873365,6612334972061286405,andyhures,pactohistorico
7623440552758873365,6612334972061286405,andyhures,petro
7623440552758873365,6612334972061286405,andyhures,cepeda
7623440552758873365,6612334972061286405,andyhures,cepedapresidente
7623440552758873365,6612334972061286405,andyhures,socialdemocracia
7580012750609550610,7302587491306128389,luisfer4119,colombia🇨🇴
7580012750609550610,7302587491306128389,luisfer4119,izquierdacorrupta
7580012750609550610,7302587491306128389,luisfer4119,vivalademocracia
7580012750609550610,7302587491306128389,luisfer4119,noalsocialismo
7652151440294579476,7359029448534868998,abogadamajoserpa,paratiiii
7652151440294579476,7359029448534868998,abogadamajoserpa,cepedapresidente2026
7652151440294579476,7359029448534868998,abogadamajoserpa,elecciones2026
7652151440294579476,7359029448534868998,abogadamajoserpa,colombia
7652151440294579476,7359029448534868998,abogadamajoserpa,fypシ
